No,Type,Mentions,Majas,Date,Link,Media,Sentiment,Category Group,Category,
11,th-comment,"Lah atas nama dia? ogah lah. kalau itu dari uang rakyat, ya jangan atas nama bapak Presiden Prabowo. bahkan sampe sapiÃ‚Â² nya aja ditandain nama dia, seolah-olah dia seorang pahlawan yg sangat dermawan. Cuiihh.",SINISME ,2026-05-27 8:26:46,https://www.threads.com/@gyjaaaaabbm/post/DY0tj25nxXN,Threads,Negative,-,-,
12,th-comment,"Yaudah Jadi skrg balik lg Kalo lu berpikiran wowo baik, pas org lain ga suka wowo knapa lu berisik?? Jd lu nanya, berstatement, tapi lo jawab sendiri",SINISME,2026-05-27 8:22:14,https://www.threads.com/@pmcshopp/post/DY0tCk5EgYO,Threads,Negative,-,-,
13,th-comment,"Lah sapa yg nyerang wowo buat lengser? Eh lo kalo mau smua org pro pemerintah lo hidup noh di korut, namanya demokrasi wajar pro kontra Jangan maksa semua orang sama ama pendapat lo, dr jamannya jokowi pro kontra ada Tapi lu uda dan harus akuin emang joko",SINISME ,2026-05-27 8:12:05,https://www.threads.com/@pmcshopp/post/DY0r4POkg-v,Threads,Negative,Asta Cita,Asta Cita 1,
14,th-comment,Yg blg sapi kurban Prabowo siapa tong?,SINISME ,2026-05-27 8:10:49,https://www.threads.com/@studio.rehh/post/DY0rvAOjxtE,Threads,Negative,-,-,
15,th-comment,Bantuan sapi! Jd gak ada sapi kurban prabowo! Paham gak ngawurnya rezim?,SINISME ,2026-05-27 8:09:38,https://www.threads.com/@kardusnotion/post/DY0rmU6gVtm,Threads,Negative,-,-,
16,th-comment,"masyarakat membaca melalui judul berita, dan melihat foto sapi yg ditulisi ""Prabowo"".. Mau atas nama Prabowo atau Pemerintah selama pakai APBN ga bisa disebut kurban Mungkin saja kesalahan media memberi judul... entahlah",SINISME,2026-05-27 8:09:28,https://www.threads.com/@d_unoe_/post/DY0rlD-kuaS,Threads,Negative,-,-,
17,th-comment,"Kan emang gak atas nama prabowo, penyalurannya juga lewat banpres",SINISME,2026-05-27 8:06:27,https://www.threads.com/@wahyu_priatmaja/post/DY0rPC7GlUa,Threads,Negative,-,-,
18,th-comment,"Boleh pakai APBN tapi ,, 1. Jangan pakai istilah Kurban. 2. Jangan pakai nama Prabowo, cukup atas nama Presiden.... anggap itu bantuan sosial dari negara.",SINISME,2026-05-27 8:05:37,https://www.threads.com/@d_unoe_/post/DY0rI2NFNoz,Threads,Negative,-,-,
19,th-comment,"Betul gw setuju sama lu, wowo jd presiden berkat wiwi, yg jadi pertanyaan lu nyerang Prabowo supaya lengser terus siapa yang mau gantiin dia? Secara legitimasi yg naik kan wakilnya Si Gibran, lu mau dia yg gantiin Prabowo gitu? Mau berharap apa sama si Gi",SINISME,2026-05-27 8:04:25,https://www.threads.com/@musi_xasix/post/DY0rADWE-YT,Threads,Negative,-,-,
20,th-comment,"Kalo ada penambahan iya, tapi kalo dana pribadi enggak. Dari zaman sby itu lewat banpres. Jokowi juga banpres 500an ekor. Baru Prabowo ini naik 2x lipat.",SINISME,2026-05-27 8:04:17,https://www.threads.com/@wahyu_priatmaja/post/DY0q_K1GoZw,Threads,Negative,-,-,
21,th-comment,"Nahh doa2 kaya gini dilakuin barisan pendukung prabowo pas jokowi menjabat, dan apa hasilnya ? Prabowo kalah terus lawan jokowi, dan untungnya udah ga sebarisan lagi sama prabowo gerombolan kaya gini, siapapun yang didukung mereka udah pasti keokkkk Ã°ÂŸÂ",SINISME ,2026-05-27 8:03:21,https://www.threads.com/@gurninkk/post/DY0q4QxE1kY,Threads,Negative,-,-,
22,th-comment,Tahun 2025 prabowo sudah jadi presiden belum? The point is not about how he sacrificed for the Qurban. I said the problem is when the cow was named after prabowo. Same as i wrote in the comment Ã°ÂŸÂ˜ÂŠ. Also i wrote wallahu alam bissawwab,SINISME ,2026-05-27 8:02:09,https://www.threads.com/@haniyao_/post/DY0qvhzGP0g,Threads,Negative,-,-,
23,th-comment,"Coba lu share berita yg presiden sebelum Prabowo beli sapi pake APBN dah bang. Gw tau dari dulu pejabat kita selalu qurban, tapi sependek pengetahuan gw, ya cuma 1 ekor sapi ukuran jumbo dengan dana pribadi mereka",SINISME ,2026-05-27 8:01:24,https://www.threads.com/@enggalicious/post/DY0qqBpE0h3,Threads,Negative,-,-,
24,photo,Modernisasi Alutsista TNI AU di era Presiden Prabowo Subianto..semoga masih nambah dan tidak ada kendala..,IRONI,2026-05-27 8:00:07,https://www.threads.com/@irawanandriawan/post/DY0qglzmADA,Threads,Negative,-,-,
25,text,"Berarti rakyat Indonesia yg berqurban bukan Prabowo. Tapi rakyat ga ikhlas jika dari dana APBN atas nama Prabowo dan dibuat bancaan, dana APBN hasil pajak rakyat!!!! Ga ridho!! ga ikhlas!! ga rela seluruh rakyat Indonesia jika Prabowo berqurban tapi meng",SARKASME ,2026-05-27 7:56:58,https://www.threads.com/@si.wury/post/DY0qJmXiaLi,Threads,Negative,-,-,
26,text,Pak Prabowo qurban 1.098 ekor sapi. AKU KIRA DERMAWAN TERNYATA GOTONG ROYONG RAKYAT Ã°ÂŸÂ¤Â£Ã°ÂŸÂ¤Â£Ã°ÂŸÂ¤Â£Ã°ÂŸÂ¤Â£,SINISME,2026-05-27 7:52:01,https://www.threads.com/@budiantono808/post/DY0plSXEwf6,Threads,Negative,-,-,
27,th-comment,"bukan, dana BANPRES pake APBN. udah ada sejak era soeharto. dan sapi kurbannya ga pake nama prabowo tapi banner bertuliskan ""BANPRES"" udah jelas disitu, clear.",SINISME,2026-05-27 7:43:25,https://www.threads.com/@ylcrrrssmt_/post/DY0omWpHR1S,Threads,Negative,-,-,
28,text,"Mau tanya deh,,,itu prabowo kurban sebanyak itu pake uang sendiri kan???",SINISME,2026-05-27 7:42:42,https://www.threads.com/@nesaa_anisaa/post/DY0ohD7k_mv,Threads,Negative,-,-,
29,th-comment,Jadi korban foto sapi nih? Itu sapi dipilok nama prabowo itu berita kurban zaman prabowo belum jadi presiden. Riset dulu baru ngomong.,SINISME,2026-05-27 7:42:09,https://www.threads.com/@wahyu_priatmaja/post/DY0odDcEq6D,Threads,Negative,-,-,
30,th-comment,Salah nya atas nama Prabowo. Kecuali pake dana pribadi gak Masalah.,SINISME,2026-05-27 7:38:33,https://www.threads.com/@9.surga/post/DY0oCriE2VT,Threads,Negative,-,-,
31,th-comment,"Rupiah mengalami depresiasi (pelemahan) sekitar 10,9% dan sempat menyentuh level terlemah di Rp 14.728 per USD pada bulan September, kalau di bulatkan lu pergi ke money changer itu 15rb. Ini baru setahun lebih kepemimpinan prabowo udah teriak2, jungjunan",SINISME,2026-05-27 7:38:19,https://www.threads.com/@musi_xasix/post/DY0oA52k3zd,Threads,Negative,-,-,
32,th-comment,"Terlepas dia boros, iya saya setuju. Tapi mengkritik kurban dari apbn juga aneh. Karena ini agenda tahunan negara, bukan prabowo yang ngide.",SINISME,2026-05-27 7:37:50,https://www.threads.com/@wahyu_priatmaja/post/DY0n9aakq31,Threads,Negative,-,-,
33,text,"prabowo kurban pakai apbn. ini tuh media yg nulis, wajarlah butuh likes views.",IRONI ,2026-05-27 7:37:35,https://www.threads.com/@goodboyesterday/post/DY0n7oFE9tM,Threads,Negative,-,-,
34,th-comment,Ga ada yang mendukung presiden terdahulu begitu krn emg salah. Di wowo salah kan jadinya. Tp knp zaman wowo yg org pada ribut krn dia tuh boros banget dan kedua kenapa malah ga sholat id. Dia udh terbang ke 51 negara dalam 1.5 tahun. Padahal sebelum jadi,SINISME,2026-05-27 7:31:52,https://www.threads.com/@_lililiput/post/DY0nRpwkuSW,Threads,Negative,-,-,
35,th-comment,"Hahhaaa benar kak, pahalanya bukan buat wowo tp buat seluruh rakyat konoha.",SARKASME ,2026-05-27 7:23:41,https://www.threads.com/@dylzlzhr/post/DY0mVyjEn4T,Threads,Negative,-,-,
36,text,"Yang lagi rame, Prabowo Qurban 1089 ekor sapi,eh katanya dananya dari APBN,jika itu bnr,berarti yg berkurban itu rakyat bukan presiden tolol yg gak ada otak itu, iyaa kaaan ???",SINISME,2026-05-27 7:18:19,https://www.threads.com/@ibnuustman/post/DY0luaeiEHI,Threads,Negative,-,-,
37,text,"Rakyat bayar pajak. Negara beli sapi kurban. Di claim kurbannya Prabowo. 2029 masih lama, udah kampanye lagi aja. Tapi tenang, kata ustad pahalanya ke rakyat kokÃ°ÂŸÂ¤Âª",SARKASME ,2026-05-27 7:18:14,https://www.threads.com/@zakyandikaa/post/DY0lt0Wj8NT,Threads,Negative,-,-,
38,th-comment,Itu cm pikiran lu Wowo emg lbh buruk Pake data? Liat noh kurs dan bursa saham,SARKASME ,2026-05-27 7:12:15,https://www.threads.com/@pmcshopp/post/DY0lCFBEmP8,Threads,Negative,-,-,
39,text,"pagi-pagi di hari raya idul adha mata ini sudah ternodai dengan framing negatif, untung otak ini bekerja lebih cepat timbang emosi hehe. yg asli pake banner tulisan ""BANPRES"" ya guys bukan sapinya di pilox kata prabowo Ã°ÂŸÂ˜Â‚",SARKASME ,2026-05-27 7:11:15,https://www.threads.com/@ylcrrrssmt_/post/DY0k6t1E_to,Threads,Negative,-,-,
40,text,"Prabowo itu sangat cocok dia harusnya disuruh momong cucunya aja,urusan cinta sm titik jg dah kelar ,momong teddy aja gw dukung satu juta persen...dia gak layak jadi presiden sama sekali. GULINGKAN PRABOWO GIBRAN Ã°ÂŸÂ”Â¥Ã°ÂŸÂ”Â¥Ã°ÂŸÂ”Â¥",SINISME ,2026-05-27 7:06:10,https://www.threads.com/@yuzarsifff69/post/DY0kVe8gTWH,Threads,Negative,-,-,
41,text,Kalau bisa puter waktu gw cabut suara gw untuk Prabowo. Maafin ya guys HUHU penyesalan selalu dateng belakangan,SINISME ,2026-05-27 7:01:45,https://www.threads.com/@sashaceasaria/post/DY0j1HEj4St,Threads,Negative,-,-,
42,text,"Menurut kalian untuk IHSG yang lagi ancur ancuran seperti sekarang, apakah sudah waktunya masuk? Adakah kemungkinan bursa saham kita akan rebound menjadi lebih baik setelah masa kepemimpinan prabowo selesai?",SINISME ,2026-05-27 6:59:00,https://www.threads.com/@m.iqbal.r.g/post/DY0jhBEk5VJ,Threads,Negative,-,-,
43,text,"Ã¢Â€ÂœPrabowo kurban pakai apbnÃ¢Â€Â - bahkan untuk berlomba mendapat timbangan yg berat supaya bisa masuk surga, dia harus pakai cara Ã¢Â€ÂœkotorÃ¢Â€Â. Anyway selamat idul adha sobat Yg dipotong hewan kurban ya bukan roti baguette.",SARKASME ,2026-05-27 6:42:29,https://www.threads.com/@rachmayantiputri/post/DY0hoAkEzb2,Threads,Negative,-,-,
44,text,"Prabowo idul adha ke prancis, mau solat ied bareng dembele kah?",SATIRE,2026-05-27 6:34:59,https://www.threads.com/@ersal.vip/post/DY0gxG-AcB6,Threads,Negative,-,-,
45,photo,Pake peci. Udah kayak Prabowo belum? Hidup Jokowee!!!,SARKASME ,2026-05-27 6:30:32,https://www.threads.com/@achmad.resa/post/DY0gQiVk-u4,Threads,Negative,-,-,
46,text,Prabowo kemana idul adha ini?,IRONI ,2026-05-27 6:29:27,https://www.threads.com/@alwifaisaal/post/DY0gIlykhBr,Threads,Negative,-,-,
47,text,Di masjid tempat aku sholat di umumin ada 1 ekor sapi dari presiden prabowo. HEY NO NO NO YA! sapi rakyat bukan sapi si wowoÃ°ÂŸÂ˜Â,SINISME ,2026-05-27 6:10:41,https://www.threads.com/@anisarhmdy/post/DY0d_KtEkke,Threads,Negative,-,-,
48,th-comment,"Serius, ga ada masalah dengan bantuan kepresidenan, jika memang itu narasi yang dipaka. yang jadi masalah adalah narasinya di arahkan seolah-olah prabowo yang kurban 1000 ekor sapi, udah itu aja. Mana di kasih nama prabowo lagi",SINISME ,2026-05-27 5:43:52,https://www.threads.com/@ay.ahzr/post/DY0a6plkyjx,Threads,Negative,-,-,
49,th-comment,Didoain sebarisan sama pak prabowo di akhirat aja mereka kek marah bgt kak Ã°ÂŸÂ˜Â” gatau bgt maunya gimana...,SARKASME ,2026-05-27 4:15:37,https://www.threads.com/@crocheae_/post/DY0Q0RjErc0,Threads,Negative,-,-,
50,th-comment,Qurban pakai dana APBN tapi atas nama PRABOWO,SARKASME ,2026-05-26 22:41:23,https://www.threads.com/@nanryn_/post/DYzqkXVk-HR,Threads,Negative,-,-,
51,th-comment,"Dari awal pemerintah menggaungkan dan menganak emaskan ojol ini udah aneh banget, ibarat tulang bengkok yg dijadikan penopang ekonomi artinya itu menunjukkan kegagalan negara menghadirkan sektor industri formal. Sekarang Wowo melihat peluang untuk mendula",SIMILE ,2026-05-26 21:27:32,https://www.threads.com/@frsasmaya/post/DYziHf3mD55,Threads,Negative,Asta Cita,Asta Cita 5,
52,th-comment,Jangan tulis Prabowo kalo pake APBN.. anjer banget numpang nama!!,SINISME,2026-05-26 21:24:37,https://www.threads.com/@maudicupang/post/DYzhyCtE-aP,Threads,Negative,-,-,
53,th-comment,"Kok gw mikir ya...Ã°ÂŸÂ¤Â”. Kenapa kenceng banget tekanan buat Prabowo lengser, perasaan dulu jaman Jokowi gak gini-gini amat padahal kerusakannya jauh lebih buruk, gak ada tuh yang minta Jokowi lengser semasif seperti skrng ini. Emang si Redbull paling j",SINISME,2026-05-26 21:05:41,https://www.threads.com/@musi_xasix/post/DYzfnZJkySf,Threads,Negative,-,-,
54,th-comment,Lah terus ngapain di tulis Prabowo sapi nya wkwkw kan APBN bukan pribadi om,SINISME,2026-05-26 20:44:48,https://www.threads.com/@m.adilarianda/post/DYzdOglj9TE,Threads,Negative,-,-,
55,text,Kl uangnya dr APBN KNP DITULIS NMNYA DR PRABOWO DAN PER EKOR 100JT. DEMI ALLAH SY GAK IKLAS UANG PAJAK KAMI CM BUAT BANCAAN TRS MEMANG G TAU MALU BERKORBAN TP PAKIA UANG RAKYAT.,SARKASME ,2026-05-26 20:38:52,https://www.threads.com/@nuraisyah_007/post/DYzcjC4kh34,Threads,Negative,-,-,
56,th-comment,"Oiya ya, prabowo pernah digendong katanya waktu kecil, sby ya setidaknya udh hidup, cuman jokowi berartiÃ°ÂŸÂ™ÂÃ°ÂŸÂÂ» 1 hari 1 fakta.",IRONI ,2026-05-26 19:24:30,https://www.threads.com/@ikadamanik/post/DYzUCXvgXO4,Threads,Negative,-,-,
57,th-comment,Ã¢Â€ÂœRp 100 MILIAR UANG NEGARA digelontorkan untuk membeli 1.098 SAPI KURBAN PRESIDEN PRABOWO subiantoÃ¢Â€Â¦Ã¢Â€Â ????????? APA INI? TAU GITU GW GAK POTONG KUKU KEMAREN2 kalo tau tiba2 ikut kurban!,SARKASME ,2026-05-26 18:52:36,https://www.threads.com/@xprexi/post/DYzQYpsFB4v,Threads,Negative,-,-,
58,th-comment,"Dridulu kan presiden udh begini, kenapa yg jaman prabowo heboh banget astagaa?",IRONI ,2026-05-26 18:41:59,https://www.threads.com/@mishahaw/post/DYzPK9DlCUi,Threads,Negative,-,-,
59,th-comment,"Presiden Prabowo beli 1.098 ekor sapi yang dibagikan ke masyarakat untuk kurban. Namun, uang tersebut diambil dari anggaran milik rakyat (APBN) hingga total Rp100 miliar. Kira-kira, apakah beliau dapat pahala berkurban, mengingat sumber keuangannya dari",SINISME ,2026-05-26 18:32:45,https://www.threads.com/@kabarmahasiswa.id/post/DYzOHTSD_yF,Threads,Negative,-,-,
60,th-comment,"The blueprint of pak wowo political admisnistration and decision are based on his ex papi, Monopoly of Indo natural resources through his Ã¢Â€ÂœfamilyÃ¢Â€Â, military represion to people, violation of human right on 98 cant be erased from my memory of h",SARKASME ,2026-05-26 16:20:40,https://www.threads.com/@ganes_usbi/post/DYy-_02mrQZ,Threads,Negative,-,-,
61,th-comment,Tapi luar biasanya kampanye pemilu 2019 bisa membranding diri islami dan jokowi malah dicap anti islam. Padahal ga pernah lihat prabowo sekalipun sholat. Antara marketing yang brilian atau masyarakat yang plenger gampang kegocek (saya bukan pendukung ked,KRITIK ,2026-05-26 15:59:34,https://www.threads.com/@jimmy_ferandino/post/DYy8lYQmFQ9,Threads,Negative,-,-,
62,th-comment,"Andaikan pak Prabowo tahu amanah itu berat sekali pertanggung jawabannya, aku yakin beliau pasti akan lebih banyak bersujud daripada berpidatoÃ¢Â€Â¦",IRONI,2026-05-26 15:20:23,https://www.threads.com/@ukhtisporty/post/DYy4GVVGpg5,Threads,Negative,-,-,
63,th-comment,"Pernah lihat foto wowo ketika jd makmum pak anies di rumah wowo, dari sikap tubunnya aja udah kelihatan kalau wowo Ã¢Â€ÂœjarangÃ¢Â€Â sholat",SINISME ,2026-05-26 15:07:37,https://www.threads.com/@inueinue47/post/DYy2o3KGIle,Threads,Negative,-,-,
64,text,Gw curiga prabowo keluar negeri karena gak bisa rukuk sama sujud. Iya gak sih wo? Ã°ÂŸÂ¤Â£,SINISME ,2026-05-26 14:23:43,https://www.threads.com/@ekkolembu/post/DYyxnTHkodi,Threads,Negative,-,-,
65,th-comment,Jalan jalan ke negri Prancis Jangan lupa membeli biji Pak Prabowo kaya dan necis Gemar sholat dan pandai mengaji Ã°ÂŸÂ¥Â°,SATIRE ,2026-05-26 13:14:08,https://www.threads.com/@lulisman_/post/DYyppn6E_pP,Threads,Negative,-,-,
66,th-comment,"Grib itu awalnya preman pasar di tanah abang, mereka itu di rangkul Gerindra buat kepentingan politik, terbukti waktu jokowi vs prabowo, hercules bela mati matian prabowo, sekarang prabowo udah jadi presiden kegiatan ilegal menjadi legal di bawah naungan",SINISME ,2026-05-26 12:25:19,https://www.threads.com/@kucing.esthetic/post/DYykEENGd9n,Threads,Negative,Asta Cita,Asta Cita 7,
67,text,Bisa kali ya doa Prabowo Gibran lengser di Hari Arafah,SARKASME ,2026-05-26 10:20:43,https://www.threads.com/@insankrisnamusi/post/DYyVzkcoGYm,Threads,Negative,-,-,
68,photo,"KALAU OJOL ADALAH TULANG PUNGGUNG TRANSPORTASI NEGARAMU, ITU ARTINYA NEGARAMU GAGAL. Waktu Hari Buruh kemarin, perwakilan ojol bilang di depan Prabowo: ""Ojol adalah tulang punggung transportasi modern Indonesia."" Mereka ngucapinnya dgn bangga. Dan gue",SINISME ,2026-05-26 9:12:06,https://www.threads.com/@yusufshid/post/DYyN8eelhBY,Threads,Negative,-,-,
69,text,"IHSG digendong jendral lulusan terbaik cikeas! IHSG dijatuhkan oleh jendral pecatan hambalang! SBY presiden yg bisa menjaga nilai tukar rupiah stabil diangka 9.000 diperiode pertama kepemimpinan... Sementara prabowo, diawal pemerintahan merusak rupiah",SARKASME ,2026-05-26 9:00:39,https://www.threads.com/@poetra_1010/post/DYyMpIDE5tt,Threads,Negative,-,-,
70,text,"IYA PERCUMA ADA PRABOWO GIBRAN DI INDONESIA, NEGARA NYA MAKIN RUJIT GA TERTATA, SEMUA MASALAH NEGARA TAK SATUPUN YG BERES, TERNYATA PRABOWO GIBRAN SETIDAK BERGUNA ITU. WASTED POTENSIAL.",SINISME ,2026-05-26 8:40:48,https://www.threads.com/@yuzarsifff69/post/DYyKXtPAYA_,Threads,Negative,-,-,
71,th-comment,"yahhh mau gmn yak, namanya juga Prabowo",IRONI,2026-05-26 7:47:39,https://www.threads.com/@indahsoleha09/post/DYyESaEE_hK,Threads,Negative,-,-,
72,photo,"Dear Pak Prabowo, saya orang desa, tapi kok ini tagihan server saya masih pake USD Ã°ÂŸÂ¥Â² padahal kata Bapak, orang desa gak pake dollar Ã°ÂŸÂ¥Â²",IRONI,2026-05-26 7:18:45,https://www.threads.com/@jipraks/post/DYyA-u8D-mI,Threads,Negative,-,-,
73,th-comment,"Pemerintah emang punya banyak kekurangan, kritik itu boleh, tp kalau sudah ujaran kebencian dan narasi2 yg menuju makar, lu sama aja sama pemerintah itu sendiri, sama2 busuknya tioo , dikira kalau ampe prabowo turun bakal langsung beres permasalahan di ne",SINISME,2026-05-26 7:07:25,https://www.threads.com/@anfieldka_setiyawan/post/DYx_rvCk6kA,Threads,Negative,-,-,
74,th-comment,Setujuu bgt aku... turunkan PRABOWO,SARKASME ,2026-05-26 4:55:20,https://www.threads.com/@rinizanobi/post/DYxwkZRk-Pn,Threads,Negative,-,-,
75,video,Soeharto butuh 32 tahun untuk merusak Indonesia Jokowi melampauinya hanya dalam 10 tahun Prabowo melampauinya hanya dalam 1 tahun ini bukan fitnah ini hukum akumulasi yang Tiyoo sebut,SINISME ,2026-05-26 1:33:26,https://www.threads.com/@rohmaan_p/post/DYxY7kKE3LI,Threads,Negative,Asta Cita,Asta Cita 7,
76,th-comment,Tiyoo menegaskan satu hal yang pahit untuk didengar: sejak Prabowo-Gibran terpilih harapan untuk menegakkan hukum terhadap pelanggaran HAM berat masa lalu sudah habis bukan pesimis tapi realistis bagaimana bisa berharap pelanggar diperiksa kalau pelan,SINISME ,2026-05-26 1:30:13,https://www.threads.com/@rohmaan_p/post/DYxZGBEk_ly,Threads,Negative,Asta Cita,Asta Cita 1,
77,th-comment,"Sumitro is Prabowo's father and political dna of Prabowo, not Soeharto",IRONI ,2026-05-25 23:54:27,https://www.threads.com/@avero_mugi_public/post/DYxOIq2klUo,Threads,Negative,-,-,
78,th-comment,"Anis saja belum tentu nyalon di 2029, dan prabowo belum tentu masih ada di 2029, mending fokus saja ke pemerintahan sekarang. Tapi setelah tau gimana pemerintahan ini, harusnya voter 2 sadar sih, kalau lu itu gk diperhatiin sama presidenmu. Wkwkwk, rakyat",SINISME ,2026-05-25 22:50:00,https://www.threads.com/@firdausarrifqy/post/DYxGwlSmqbd,Threads,Negative,-,-,
79,th-comment,"24 hari 3 jam menuju Prabowo Gibran Lengser Kurs Dollar malam ini ditutup pada angka : Rp 17,789,-",SINISME ,2026-05-25 21:17:58,https://www.threads.com/@rajawali_indonesia1/post/DYw8OjPD3kK,Threads,Negative,-,-,
80,th-comment,Pak TNI pak TNI udahlah jangan perburuk citra pak prabowo Ã°ÂŸÂ¥Â²Ã°ÂŸÂ¥Â²Ã°ÂŸÂ¥Â²,IRONI,2026-05-25 20:38:40,https://www.threads.com/@ayamgorengsurockboyo/post/DYw3ur8kqg2,Threads,Negative,-,-,
81,th-comment,"Iya pak, presiden wowo kl pidato selalu nyelekit kata2nya sakit gak berdarah menusuk ulu hati, Ya Allah enyahkanlah cobaan ini Ya Allah",SARKASME ,2026-05-25 20:21:30,https://www.threads.com/@mother_mike/post/DYw1w6kiSOh,Threads,Negative,-,-,
82,th-comment,Selama prabowo yg jd presiden 20rb bkn omon2,SARKASME ,2026-05-25 19:43:38,https://www.threads.com/@tetia.ny/post/DYwxbnACZUb,Threads,Negative,-,-,
83,th-comment,Rezim prabowo lgi dkerjain sm elit..ya betul elit..krna 1. mentri yg doyan naikin pajak n ngutang d tendang dri rezim in..2. Krna prabowo mulai menyikati pra koruptor pelan2 n mengguncang kasus mafia minyak yg tdk bs dsentuh 7 presiden terdhulu.,SINISME,2026-05-25 17:59:42,https://www.threads.com/@dediapriyadi9/post/DYwliXJCId6,Threads,Negative,-,-,
84,th-comment,"Teladani bpk BJ Habibi mengorbankan ambisinya menutup.pabrik pesawat terbang Nurtanio demi menyelamatkan rupiah dari 17.000/dolar.menjadi 6500 /dolar. Pemerintah Prabowo Gibran tdk mau mengorbankan ambisinya MBG dan Koperasi Desa MP, semua itu hny topeng",SINISME,2026-05-25 17:40:26,https://www.threads.com/@eyangputrimalang/post/DYwjVNkiV74,Threads,Negative,-,-,
85,th-comment,"Kita Rakyat Indonesia bersatu, turunkan Pemerintahan Prabowo Gibran.",SARKASME ,2026-05-25 15:56:17,https://www.threads.com/@widyanata_09071970/post/DYwXaaKk-C5,Threads,Negative,-,-,
86,th-comment,"Pendukung anis sekarang adalah pendukung prabowo masa melawan jokowi, sedangkan pendukung prabowo sekarang adalah pendukung jokowi masa lalu",SINISME ,2026-05-25 8:35:20,https://www.threads.com/@hahajun_21/post/DYvk81niWNn,Threads,Negative,-,-,
87,th-comment,Pendukung Anies realistis idealis sementara pendukung Prabowo pragmatis asal bs makan aja.udah,SINISME ,2026-05-25 8:32:30,https://www.threads.com/@rahimullahsag/post/DYvkoEKkh85,Threads,Negative,-,-,
